Name of Chemical,Amount (in grams),Number of Bottles,Storage,Location
Ammonium Thiocyanate,100g,,General Storage,General Storage Cabinet
Barium Nitrate,100g,,yellow,General Storage Cabinet
Zinc oxide,25g,,green,General Storage Cabinet
Luminol,5g,,green,General Storage Cabinet
Sodium Perborate,1.4g,,green,General Storage Cabinet
Sodium Chloride,5g,,green,General Storage Cabinet
Aluminum,25g,,green,General Storage Cabinet
Zinc oxide,25g,,green,General Storage Cabinet
Sodium Chloride,20g,,green,General Storage Cabinet
Iron(lll) Oxide,25g,,green,General Storage Cabinet
Copper (ll),25g,,green,General Storage Cabinet
Silicon,25g,,green,General Storage Cabinet
Potassium Bitartrate,30g,,green,General Storage Cabinet
Lithium Chloride,45g,,green,General Storage Cabinet
Sodium Borate,20g,,green,General Storage Cabinet
Iron(lll) Oxide,25g,,green,General Storage Cabinet
Cupric Sulfate,25g,,green,General Storage Cabinet
Calcium Cholride,40g,,green,General Storage Cabinet
Luminol,5g,,green,General Storage Cabinet
Sodium Perborate,1.4g,,green,General Storage Cabinet
Copper (ll),25g,,green,General Storage Cabinet
Zinc oxide,60g,,green,General Storage Cabinet
Ammonium Thiocyanate,100g,,green,General Storage Cabinet
Sodium Chloride,250g,,green,General Storage Cabinet
Calcium Sulfate,250g,,green,General Storage Cabinet
Copper(ll) Acetate,80g,,green,General Storage Cabinet
Copper(ll) Acetate,100g,,green,General Storage Cabinet
Ammonium Thiocyanate,100g,,green,General Storage Cabinet
Polyvinyl Alcohol,100g,,grey,General Storage Cabinet
Barium Nitrate,100g,,yellow,General Storage Cabinet
Cupric Bromide,25g,,grey,General Storage Cabinet
Cupric Oxide,25g,,grey,General Storage Cabinet
Strontium Chloride,25g,,grey,General Storage Cabinet
Silver Nitrate,25g,,yellow,General Storage Cabinet
Lactase ,1g,,health-1,General Storage Cabinet
Lactase ,1g,,health-1,General Storage Cabinet
Lactase ,1g,,health-1,General Storage Cabinet
Sodium Chloride,20g,,N/A,General Storage Cabinet
Indophenol Sodium Salt,1g,,health-2,General Storage Cabinet
Calcium Cholride,20g,,health-2,General Storage Cabinet
Cupric Sulfate,20g,,health-2,General Storage Cabinet
Lithium Chloride,20g,,health-2,General Storage Cabinet
Sodium Bicarbonate,25g,,N/A,General Storage Cabinet
Aluminum Potassium Sulfate,200g,,N/A,General Storage Cabinet
Ammonium Thiocyanate,500g,,health-2,General Storage Cabinet
Calcium Hydroxide,500g,,health-2,General Storage Cabinet
Polyvinyl Alcohol,80g,,health-1,General Storage Cabinet
Calcium Carbonate ,500g,,health-1,General Storage Cabinet
Calcium Carbonate ,175g,,health-1,General Storage Cabinet
Calcium Carbonate ,250g,,health-1,General Storage Cabinet
Sodium Carbonate,100g,,health-1,General Storage Cabinet
Calcium Carbonate ,150g,,green,General Storage Cabinet
Calcium Hydroxide,500g,,white,General Storage Cabinet
Calcium Carbonate ,150g,,green,General Storage Cabinet
Calcium Carbonate ,175g,,green,General Storage Cabinet
Calcium Carbonate ,350g,,green,General Storage Cabinet
Calcium Carbonate ,150g,,green,General Storage Cabinet
Calcium Carbonate ,250g,,green,General Storage Cabinet
Calcium Carbonate ,150g,,green,General Storage Cabinet
Calcium Carbonate ,150g,,green,General Storage Cabinet
Calcium Carbonate ,150g,,green,General Storage Cabinet
Calcium Carbonate ,350g,,green,General Storage Cabinet
Sodium Carbonate,750g,,green,General Storage Cabinet
Agar,100g,,N/A,General Storage Cabinet
Sodium Sulfate,N/A,,N/A,General Storage Cabinet
Calcium Sulfate,250g,,green,General Storage Cabinet
Sodium Sulfate,500g,,N/A,General Storage Cabinet
Calcium Chloride,250g,,green,General Storage Cabinet
Ammonium Chloride,500g,,health-1,General Storage Cabinet
Magnesium Hydroxide,100g,,health-1,General Storage Cabinet
Calcium Hydroxide,500g,,health-3,General Storage Cabinet
Sodium Sulfite,80g,,green,General Storage Cabinet
Ammonium Nitrate,500g,,yellow,General Storage Cabinet
Ammonium Nitrate,100g,,yellow,General Storage Cabinet
Manganese Dioxide,100g,,yellow,General Storage Cabinet
Ammonium Nitrate,350g,,yellow,General Storage Cabinet
Potassium Chloride,100g,,grey,General Storage Cabinet
Ammonium Nitrate,350g,,yellow,General Storage Cabinet
Maganous Chloride,100g,,grey,General Storage Cabinet
Potassium Chloride,20g,,health-2,General Storage Cabinet
Calcium Chloride,20g,,health-2,General Storage Cabinet
Copper (ll) Chloride,30g,,N/A,General Storage Cabinet
Nickle Chloride,7.5g,,blue,General Storage Cabinet
Manganese Dioxide,500g,,yellow,General Storage Cabinet
Manganese Nitrate,500g,,yellow,General Storage Cabinet
Manganese Dioxide,50g,,yellow,General Storage Cabinet
Strontium Chloride,20g,,health-2,General Storage Cabinet
Manganese Dioxide,1 pound ,,N/A,General Storage Cabinet
Lugol's lodie solution,6 viyls ,,N/A,
1% hydrochloric acid,7 viyls ,,N/A,
Sodium Chloride,2 viyls,,N/A,
vinegar,1 viyl,,N/A,
Ammonium Hydroxide,4 viyl,,N/A,
Sodium Hydroxide,N/A,,N/A,
CaCo,25 viyls,,N/A,
